Movie Name,Year,Duration,Rated,Score,Metascore
Asteroid City,2023,1h 45m,PG-13,6.5,76
The Flash,2023,2h 24m,PG-13,6.7,55
The Dead Don't Die,2019,1h 44m,R,5.5,53
The Greatest Showman,2017,1h 45m,PG,7.5,48
Terrifier 2,2022,2h 18m,Other,6.1,59
The Little Mermaid,2023,2h 15m,PG,7.2,59
All Good Things,2010,1h 41m,R,6.3,57
Blended,2014,1h 57m,PG-13,6.5,31
Almost Famous,2000,2h 2m,R,7.9,90
Thor: Love and Thunder,2022,1h 58m,PG-13,6.2,57
Superbad,2007,1h 53m,R,7.6,76
The Place Beyond the Pines,2012,2h 20m,R,7.3,68
The Imitation Game,2014,1h 54m,PG-13,8,71
She Came to Me,2023,1h 42m,R,6,53
Drive-Away Dolls,2024,1h 24m,R,5.5,56
"New York, I Love You",2008,1h 43m,R,6.2,49
X-Men: First Class,2011,2h 11m,PG-13,7.7,65
After,2019,1h 45m,PG-13,5.3,30
The Martian,2015,2h 24m,PG-13,8,80
Hidden Figures,2016,2h 7m,PG,7.8,74
Blue Is the Warmest Colour,2013,3h,NC-17,7.7,90
Catch Me If You Can,2002,2h 21m,PG-13,8.1,75
The Clovehitch Killer,2018,1h 49m,Other,6.5,59
300,2006,1h 57m,R,7.6,52
Promising Young Woman,2020,1h 53m,R,7.5,72
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,1h 52m,PG-13,5.9,40
Men,2022,1h 40m,R,6.1,65
X-Men: Days of Future Past,2014,2h 12m,PG-13,7.9,75
28 Weeks Later,2007,1h 40m,R,6.9,78
Shrek,2001,1h 30m,PG,7.9,84
Jack Reacher,2012,2h 10m,PG-13,7,50
Trolls Band Together,2023,1h 31m,PG,6,53
Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,7.7,81
The Conjuring,2013,1h 52m,R,7.5,68
Batman Begins,2005,2h 20m,PG-13,8.2,70
Unsung Hero,2024,1h 53m,PG,7.8,46
The Hunger Games: Catching Fire,2013,2h 26m,PG-13,7.5,76
Close,2022,1h 44m,PG-13,7.8,81
Martyrs,2008,1h 39m,R,7,0
Love Actually,2003,2h 15m,R,7.6,55
Black Swan,2010,1h 48m,R,8,79
Ocean's Eleven,2001,1h 56m,PG-13,7.7,74
Snatch,2000,1h 42m,R,8.2,55
Guardians of the Galaxy,2014,2h 1m,PG-13,8,76
Lost in Translation,2003,1h 42m,R,7.7,91
Divergent,2014,2h 19m,PG-13,6.6,48
X-Men: Apocalypse,2016,2h 24m,PG-13,6.9,52
The Great Wall,2016,1h 43m,PG-13,5.9,42
Fury,2014,2h 14m,R,7.6,64
Doctor Strange in the Multiverse of Madness,2022,2h 6m,PG-13,6.9,60
Ready or Not,2019,1h 35m,R,6.9,64
Wrath of Man,2021,1h 59m,R,7.1,57
Jurassic World,2015,2h 4m,PG-13,6.9,59
The Beast,2023,2h 26m,Other,6.8,80
Sound of Freedom,2023,2h 11m,PG-13,7.6,36
Monster,2023,2h 7m,PG-13,7.8,79
Coherence,2013,1h 29m,Other,7.2,65
The Accountant,2016,2h 8m,R,7.3,51
Ghosted,2023,1h 56m,PG-13,5.8,34
Spy Kids,2001,1h 28m,PG,5.6,71
Rogue One: A Star Wars Story,2016,2h 13m,PG-13,7.8,65
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,1h 39m,PG,7.2,74
Not Another Teen Movie,2001,1h 29m,R,5.8,32
The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,87
The Help,2011,2h 26m,PG-13,8.1,62
Jumanji: The Next Level,2019,2h 3m,PG-13,6.7,58
The Revenant,2015,2h 36m,R,8,76
Captain America: The First Avenger,2011,2h 4m,PG-13,6.9,66
Annihilation,2018,1h 55m,R,6.8,79
The Avengers,2012,2h 23m,PG-13,8,69
Baywatch,2017,1h 56m,R,5.5,37
Charlie and the Chocolate Factory,2005,1h 55m,PG,6.7,72
Sasquatch Sunset,2024,1h 28m,R,5.5,65
Don't Look Up,2021,2h 18m,R,7.2,49
Bones and All,2022,2h 11m,R,6.8,74
The Marvels,2023,1h 45m,PG-13,5.5,50
The Nice Guys,2016,1h 56m,R,7.4,70
Jumanji: Welcome to the Jungle,2017,1h 59m,PG-13,7,58
Nymphomaniac: Vol. I,2013,1h 57m,Other,6.9,64
The Hobbit: An Unexpected Journey,2012,2h 49m,PG-13,7.8,58
Just Go with It,2011,1h 57m,PG-13,6.4,33
Harry Potter and the Prisoner of Azkaban,2004,2h 22m,PG,7.9,82
Billy Elliot,2000,1h 50m,R,7.7,74
One Day,2011,1h 47m,PG-13,7,48
Unfaithful,2002,2h 4m,R,6.7,63
How to Have Sex,2023,1h 31m,Other,6.5,79
Aftersun,2022,1h 42m,R,7.6,95
Ratatouille,2007,1h 51m,G,8.1,96
Finding Nemo,2003,1h 40m,G,8.2,90
Elvis,2022,2h 39m,PG-13,7.3,64
Evil Dead Rise,2023,1h 36m,R,6.5,69
The Girl Next Door,2004,1h 49m,R,6.7,47
The Exorcism,2024,1h 33m,R,5.4,0
A Beautiful Mind,2001,2h 15m,PG-13,8.2,72
Avatar,2009,2h 42m,PG-13,7.9,83
Anna,2019,1h 58m,R,6.6,40
The Pianist,2002,2h 30m,R,8.5,85
Me Before You,2016,1h 50m,PG-13,7.4,51
Kong: Skull Island,2017,1h 58m,PG-13,6.7,62
Hellboy,2019,2h,R,5.3,31
Star Wars: Episode IX - The Rise of Skywalker,2019,2h 21m,PG-13,6.4,53
Les Misأ©rables,2012,2h 38m,PG-13,7.5,63
Spider-Man: Homecoming,2017,2h 13m,PG-13,7.4,73
Asphalt City,2023,2h 5m,R,6.1,47
Thor: Ragnarok,2017,2h 10m,PG-13,7.9,74
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2h 23m,PG,6.9,75
The Gift,2015,1h 48m,R,7,77
Apocalypto,2006,2h 19m,R,7.8,68
The Boy and the Heron,2023,2h 4m,PG-13,7.6,91
Knock at the Cabin,2023,1h 40m,R,6.1,63
Remember Me,2010,1h 53m,PG-13,7.1,40
The 40-Year-Old Virgin,2005,1h 56m,R,7.1,73
Last Night in Soho,2021,1h 56m,R,7,65
Operation Fortune: Ruse de Guerre,2023,1h 54m,R,6.3,51
Edge of Tomorrow,2014,1h 53m,PG-13,7.9,71
White Chicks,2004,1h 49m,PG-13,5.8,41
Elemental,2023,1h 41m,PG,7,58
Mulholland Drive,2001,2h 27m,R,7.9,87
A Man Called Otto,2022,2h 6m,PG-13,7.5,51
Cast Away,2000,2h 23m,PG-13,7.8,74
Brokeback Mountain,2005,2h 14m,R,7.7,87
The Fast and the Furious,2001,1h 46m,PG-13,6.8,58
Bohemian Rhapsody,2018,2h 14m,PG-13,7.9,49
The Lighthouse,2019,1h 49m,R,7.4,83
The Lion King,2019,1h 58m,PG,6.8,55
Dumb Money,2023,1h 45m,R,6.9,66
Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,7.6,68
Red Eye,2005,1h 25m,PG-13,6.5,71
Old Henry,2021,1h 39m,Other,7.2,69
A Haunting in Venice,2023,1h 43m,PG-13,6.5,63
Infinity Pool,2023,1h 57m,R,6,72
